"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"GP","S12A","0408","","11-OCT-1977 11:23","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".014","0.014","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","0","","2","0","1","MON","3","",""
"GP","S12A","0470","","01-NOV-1977 11:50","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".003","0.003","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","0","","2","1","1","MON","3","",""
"CAMB","S12A","0001","","06-DEC-1977 11:20","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".011","0.011","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","19","","2","1","6","MON","3","",""
"CAMB","S12A","0080","","20-DEC-1977 10:00","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".011","0.011","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","19","","2","1","1","MON","3","",""
"CAMB","S12A","0173","","05-JAN-1978 12:40","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".007","0.007","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","19","","2","1","3","MON","3","",""
"CAMB","S12A","0256","","18-JAN-1978 11:00","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".008","0.008","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","19","","2","1","2","MON","3","",""
"CAMB","S12A","0342","","01-FEB-1978 14:43","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".004","0.004","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","19","","2","1","3","MON","3","",""
"CAMB","S12A","0422","","14-FEB-1978 15:40","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".008","0.008","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","19","","2","1","1","MON","3","",""
"CAMB","S12A","0501","","28-FEB-1978 10:20","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".009","0.009","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","19","","2","1","1","MON","3","",""
"CAMB","S12A","0603","","14-MAR-1978 12:15","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".006","0.006","","","","","mg/L","","","","","WMD","WMD","","","","","","","","","19","","2","1","3","MON","3","",""
